"filename", "language", "Markdown", "YAML", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "PostCSS", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/.github/workflows/ci-backend.yml", "YAML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/.github/workflows/ci-frontend.yml", "YAML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/README.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 63
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/README.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 93
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/package-lock.json", "JSON", 0, 0, 0, 4646, 0, 0, 0, 0, 0, 0, 0, 1, 4647
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/package.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/app.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 36, 10, 71
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/config/firebase.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 14, 7, 61
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/config/swagger.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/controllers/authController.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/controllers/formController.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/controllers/formVersionController.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 9, 90
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/controllers/submissionController.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 8, 80
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/controllers/userController.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/controllers/workflowController.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/db/db.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/middleware/auth.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 12, 9, 50
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/middleware/errorHandler.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 14, 4, 36
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/models/Form.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 3, 15, 109
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/models/FormVersion.js", "JavaScript", 0, 0, 444, 0, 0, 0, 0, 0, 0, 0, 31, 105, 580
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/models/Submission.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 5, 21, 110
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/models/User.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/routes/authRoutes.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 35, 4, 44
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/routes/formRoutes.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 249, 10, 293
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/routes/formVersionRoutes.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 196, 6, 225
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/routes/submissionRoutes.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 130, 5, 153
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/routes/userRoutes.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 61, 4, 73
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/routes/workflowRoutes.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 53, 4, 67
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/server.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/authService.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/formService.js", "JavaScript", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 40, 274
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/formVersionService.js", "JavaScript", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 45, 240
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/logicEngine.js", "JavaScript", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 6, 27, 252
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/logicEngine/conditionTree.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/logicEngine/formulaParser.js", "JavaScript", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 24, 252
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/logicEngine/helpers.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/logicEngine/normalizer.js", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 26, 172
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/submissionService.js", "JavaScript", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 67, 420
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/userService.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/workflowEngine.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 65, 26, 208
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/services/workflowService.js", "JavaScript", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 33, 180
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/backend/src/utils/conditionEvaluator.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 34, 17, 100
